held_out_session,model,target,condition,ccc,pearson_r,mse,rmse,pred_dispersion
1,MeanBaseline,arousal,circ_shift,2.3837204879898653e-31,,0.4617723228734089,0.6795383159715197,1.3441112808767972e-15
1,RidgeCV,arousal,circ_shift,-0.0300975826543261,-0.0833768263208014,0.5497018562171655,0.7414188129641475,0.2205845619111376
1,SVR,arousal,circ_shift,-0.0759096189407066,-0.1108219724788404,0.5840699256988966,0.7642446765917945,0.4257944661070417
1,CatBoost,arousal,circ_shift,0.0734175528362717,0.1695694469528262,0.5103575681944521,0.7143931467997521,0.2730755481791223
1,Ensemble,arousal,circ_shift,-0.0137584293220349,-0.0388201428169985,0.5259752676251495,0.725241523649294,0.2105632601391725
1,MeanBaseline,arousal,label_ar_combined,3.053773484752453e-31,,0.4305388667276779,0.6561546058115251,7.035968922239893e-16
1,RidgeCV,arousal,label_ar_combined,0.3912261493304799,0.4534833333108804,0.3234523569750598,0.5687287200195361,0.5753051512115377
1,SVR,arousal,label_ar_combined,0.4185432520579678,0.4185627741422787,0.464285714284458,0.681385143868325,1.002132245938589
1,CatBoost,arousal,label_ar_combined,0.387990899382041,0.4426724331827619,0.3300903932648028,0.5745349365049987,0.5933233679390912
1,Ensemble,arousal,label_ar_combined,0.4224299754675613,0.4502475715846336,0.3424210165629769,0.5851675115409065,0.6981303243095792
1,MeanBaseline,arousal,label_ar_own,3.053773484752453e-31,,0.4305388667276779,0.6561546058115251,7.035968922239893e-16
1,RidgeCV,arousal,label_ar_own,0.4028837768304348,0.461397934078706,0.3217279703610156,0.5672106930947403,0.5904885348951767
1,SVR,arousal,label_ar_own,0.4185432520578791,0.4185627741421969,0.4642857142852271,0.6813851438688894,1.0021322459400788
1,CatBoost,arousal,label_ar_own,0.4070546308750895,0.4520396051844225,0.3305423966042281,0.5749281664731936,0.6300370510494416
1,Ensemble,arousal,label_ar_own,0.4303143389979795,0.4549831418688282,0.3434117830141924,0.5860134665809246,0.715562880573165
1,MeanBaseline,arousal,label_ar_partner,3.053773484752453e-31,,0.4305388667276779,0.6561546058115251,7.035968922239893e-16
1,RidgeCV,arousal,label_ar_partner,-0.0571979043060279,-0.2365018314438763,0.4514029694419643,0.6718652911424762,0.1296077925253486
