model,target,condition,ccc_mean,ccc_std,ccc_ci_lo,ccc_ci_hi,r_mean,rmse_mean,pred_disp_mean,n_sessions
MeanBaseline,arousal,circ_shift,5.702399867114179e-32,2.4995200645655023e-31,-7.616602397222194e-32,1.9021402131450552e-31,,0.7761325564599165,6.587482990504111e-16,16
RidgeCV,arousal,circ_shift,-0.007701267350003801,0.06478208055972781,-0.042221201392358625,0.02681866669235102,-0.02690304947157606,0.8685438097887468,0.30327918547312516,16
Ensemble,arousal,circ_shift,-0.009674915311159746,0.05118942313985768,-0.03695183348338313,0.01760200286106364,-0.0397934991930937,0.8282525933742121,0.20615207250953593,16
SVR,arousal,circ_shift,-0.010506416265053348,0.05105222368389639,-0.03771022600776182,0.016697393477655118,0.009221996255373061,0.8697560431359215,0.25298346630369567,16
CatBoost,arousal,circ_shift,-0.01723104476744911,0.04457911841379103,-0.04098558018857665,0.006523490653678427,-0.06521398117346805,0.7977866348666123,0.19958254147166335,16
XGBoost,arousal,circ_shift,-0.0245298951524563,0.05719617150520483,-0.055007583593081784,0.005947793288169183,-0.05679962451412708,0.81161023629719,0.2488819849612401,16
Ensemble,arousal,label_ar_combined,0.47824855749101197,0.08000275707595417,0.4356180974377531,0.5208790175442708,0.512366747701845,0.6017681977540243,0.6964534968574951,16
SVR,arousal,label_ar_combined,0.4778108117238072,0.08842626090087317,0.4306917833206381,0.5249298401269762,0.4778563775427746,0.6964904589908465,0.9951678376572701,16
RidgeCV,arousal,label_ar_combined,0.4422423594826974,0.07792676473208916,0.40071811766391746,0.48376660130147736,0.5138224511671299,0.5924244345323456,0.5825185910413868,16
XGBoost,arousal,label_ar_combined,0.4385805416411102,0.06608702827297243,0.4033652500461619,0.4737958332360585,0.5103555399327159,0.5963200505015532,0.586585560374463,16
CatBoost,arousal,label_ar_combined,0.4381276356813125,0.06947714602499964,0.4011058778508765,0.47514939351174856,0.5137436030394451,0.5938954230651936,0.5770678787403317,16
MeanBaseline,arousal,label_ar_combined,1.0665088520598003e-31,2.742710559487071e-31,-3.949784418450682e-32,2.527996145964669e-31,,0.7770702592497545,5.689500696677602e-16,16
Ensemble,arousal,label_ar_own,0.4810085633770741,0.08137815856444948,0.4376452036044115,0.5243719231497367,0.5135859974356893,0.6026415454356527,0.7045978564252607,16
SVR,arousal,label_ar_own,0.47781081172367146,0.08842626090071672,0.4306917833205858,0.5249298401267571,0.4778563775426355,0.6964904589911197,0.995167837657637,16
RidgeCV,arousal,label_ar_own,0.4488286657011976,0.08157683062608452,0.4053594410596632,0.492297890342732,0.5173329519751817,0.5925528704373881,0.5950951810979079,16
XGBoost,arousal,label_ar_own,0.44301176161464306,0.0734836749874273,0.40385507520014785,0.4821684480291383,0.5122546478687819,0.5955827610509951,0.5944543945620078,16
CatBoost,arousal,label_ar_own,0.44285399980861223,0.07307484303109539,0.40391516456600046,0.481792835051224,0.5145331074743972,0.5943208640282995,0.588816837085217,16
MeanBaseline,arousal,label_ar_own,1.0665088520598003e-31,2.742710559487071e-31,-3.949784418450682e-32,2.527996145964669e-31,,0.7770702592497545,5.689500696677602e-16,16
MeanBaseline,arousal,label_ar_partner,1.0665088520598003e-31,2.742710559487071e-31,-3.949784418450682e-32,2.527996145964669e-31,,0.7770702592497545,5.689500696677602e-16,16
SVR,arousal,label_ar_partner,-1.4554694509453465e-13,5.671570307468135e-13,-4.477635939560523e-13,1.56669703766983e-13,-0.018867850616822224,0.811665089410437,1.7515927981870219e-12,16
Ensemble,arousal,label_ar_partner,-0.02667314654910235,0.02675459948377024,-0.04092966627692829,-0.012416626821276405,-0.13079801911027644,0.7743031044483395,0.09218665083857507,16
RidgeCV,arousal,label_ar_partner,-0.03285513510927113,0.035071360724196546,-0.05154334407870508,-0.014166926139837173,-0.13278489943993624,0.773971127855934,0.11889659541399084,16
XGBoost,arousal,label_ar_partner,-0.045165391500122734,0.04903004992101751,-0.07129166090584865,-0.019039122094396812,-0.12364019047392838,0.7821987707048971,0.20416684393199813,16
CatBoost,arousal,label_ar_partner,-0.045385596165678284,0.04672450391357842,-0.07028332682394867,-0.0204878655074079,-0.1341565425700045,0.7795125691822493,0.18203733880872972,16
RidgeCV,arousal,lag_0,0.016254933110220422,0.03654714254709928,-0.003219664483156217,0.035729530703597065,0.033744476189318216,0.8736102145350231,0.40290779053305215,16
Ensemble,arousal,lag_0,0.01180185015758467,0.031719760903716185,-0.005100417333284389,0.02870411764845373,0.03711150287713102,0.8268693237745944,0.25035858303942576,16
CatBoost,arousal,lag_0,0.008980997803129446,0.05034463960860524,-0.017845767000647935,0.03580776260690682,0.02635749260936973,0.7887596122131301,0.20833493587870933,16
MeanBaseline,arousal,lag_0,5.702399867114179e-32,2.4995200645655023e-31,-7.616602397222194e-32,1.9021402131450552e-31,,0.7761325564599165,6.587482990504111e-16,16
XGBoost,arousal,lag_0,-0.0007193644197431206,0.04665373920355498,-0.025579387225758227,0.02414065838627199,-0.002521906216960447,0.8049606219052674,0.27218032967444616,16
SVR,arousal,lag_0,-0.007215741504011537,0.03308361619233274,-0.024844756178663205,0.010413273170640133,0.014017166964613092,0.8883116542086893,0.25817253230585874,16
Ensemble,arousal,lag_1,0.011685833837946994,0.028819772494984956,-0.0036711389089426963,0.027042806584836685,0.04072244752379904,0.8451895445124493,0.27870179102854664,16
